"Record Key","Chainage Start (m)","Chainage End (m)","Length (m)","Pipeline Section","Register","Asset Type","Asset ID","Trench Type","Source Length (m)","Drawing (Start)","Drawing (End)","Drawing (superseded)","Info Source","Included in Current Plan","Section Ref (source)","Feature Name","Utility Description","Surface","Pipeline DN","Embankment Treatment","Creek Bed Treatment","Pipe Description","Type 6 (m)","Type 7 (m)","Type 4 & 7 (m)","Type 4 & 6 (m)","Operator","Location","Material","Size (mm)","ID","Actual Chainage (surveyed)","Located","C&G Code","Trench Code","Surveyors PtNo","E","N","Z","Survey Code","Proven to Underside of Service","Test Point","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m)","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Excavation Permit Required?","Excavation Permit Date","Crossing Permit Required?","Crossing Permit Date","Comments","Source File","Source Row","Area (m2)","Timber Density","Thrust Block Category","Installed","Install Date","Installed By","Test Document No","Test Status","Test Date","Complete","Completion Date","Progress Notes","Unit Rate ($)","Quantity","Unit","Total Cost ($)","Fitting Type","Type of Bend","Fitting Material","Fitting DN (mm)","Max Test Pressure (kPa)","Allowable Lateral Bearing (kPa)","Thrust Block Item","Design Source","Valve Type","Crossing Type","Crew","Bend Rate Class","Completion Driver","Front Chainage (m)","Auto Complete","Auto Complete As At","Unlabelled Column CO","Valve Arrangement Type","Valve Assembly Group","Valve Arrangement","Branch / Tee Size","Air Valve","Scour Valve","Side","Invert Level (m)","Depth of Invert (m)","Natural Surface (m)","Orifice Plate Bore (mm)","Within 1% AEP Flood Zone","Claim Item No (PC02)","Location Drawing Ref"
"PHW-TS-0229","5411.3","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0229","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","258","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0230","5421.6","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0230","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","259","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0231","5431.9","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0231","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","260","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0232","5442.2","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0232","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","261","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0233","5452.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0233","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","262","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0234","5462.8","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0234","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","263","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0235","5473.1","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0235","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","264","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0236","5483.4","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0236","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","265","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0237","5493.7","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0237","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","266","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-CM-0017","5494","","","PHW","Foreign Service","COMMUNICATIONS","PHW-CM-0017","","","D-DWG-PHW-008.2","","","BYDA","Yes","PHW","","BYDA TELSTRA COMMS","","","","","","","","","","Telstra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Forreign service raw data.xlsx","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-CM-0018","5494","","","PHW","Foreign Service","COMMUNICATIONS","PHW-CM-0018","","","D-DWG-PHW-008.2","","","BYDA","Yes","PHW","","BYDA TELSTRA COMMS","","","","","","","","","","Telstra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Forreign service raw data.xlsx","63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-TB-018","2500.706","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-018","","","","","","","","PHW","","Type 2","","","","","","","","","","","","MSCL","650","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","30","","","Bend","","","","","","","","","","104391","1","each","104391","Bend","38.2","MSCL","650","2489","50","Bend; MS - 38.2°","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-035","4680.222","","","PHW","Bend","VERT","PHW-BND-035","","","D-DWG-PHW-007.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","9.5°","MSCL","650","","","","","","","","Mitred 1-cut","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0238","5501.6","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0238","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","267","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0239","5508.4","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0239","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","268","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0240","5515.2","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0240","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","269","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0241","5522","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0241","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","270","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0242","5527.6","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0242","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","271","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0243","5536","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0243","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","272","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0244","5544.4","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0244","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","273","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0245","5552.8","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0245","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","274","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0246","5561.2","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0246","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","275","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0247","5569.6","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0247","","","D-DWG-PHW-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","276","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-PIPE-0063","5600","5731.564","131.5640000000003","PHW","Pipe","PIPE","PHW-PIPE-0063","","","D-DWG-PHW-007.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Driveway crossings","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-TB-019","2536.539","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-019","","","","","","","","PHW","","Type 6","","","","","","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","31","","","Bend","","","","","","","","","","14743","1","each","14743","Bend","11.25","DICL","600","2473","150","Bend; 11.25 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-036","4859.321","","","PHW","Bend","VERT","PHW-BND-036","","","D-DWG-PHW-007.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0248","5671.2","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0248","","","D-DWG-PHW-009","","","","","9.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","277","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0249","5682.7","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0249","","","D-DWG-PHW-009","","","","","9.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","278","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0250","5694.2","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0250","","","D-DWG-PHW-009","","","","","9.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","279","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0251","5705.7","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0251","","","D-DWG-PHW-009","","","","","9.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","280","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0252","5717.2","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0252","","","D-DWG-PHW-009","","","","","9.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","281","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PWG-TB-015","2596.042","","","PWG","Thrust Block","THRUST BLOCK","PWG-TB-015","","","","","","","","PWG","","Type 6","","","","","","","","","","","","DICL","375","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","103","","","Bend","","","","","","","","","","13159","1","each","13159","Bend","11.25","DICL","375","2547","50","Bend; 11.25 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-037","5356.118","","","PHW","Bend","HOR","PHW-BND-037","","","D-DWG-PHW-007.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","22.5°","DICL","600","","","","","","","","22.5","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0253","5723.75","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0253","","","D-DWG-PHW-009","","","","","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","282","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0025","5726.4","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0025","","","D-DWG-PHW-009","","","","","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","283","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0254","5729.05","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0254","","","D-DWG-PHW-009","","","","","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","284","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TT-0038","5731.564","5754.45","22.885999999999513","PHW","Trench Type","TRENCH SECTION","","4","22.8859999999995","D-DWG-PHW-009.2","D-DWG-PHW-009.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-PIPE-0064","5731.564","5754.45","22.885999999999513","PHW","Pipe","PIPE","PHW-PIPE-0064","","","D-DWG-PHW-009.2","","","","","PHW","","","","660","","","OD660 MSCL 6WT SINTALOCK TYPE 2 PN35","","","","","","","MSCL","660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-BS-0026","5733","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0026","","","D-DWG-PHW-009","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","285","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0027","5736","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0027","","","D-DWG-PHW-009","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","286","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0028","5739","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0028","","","D-DWG-PHW-009","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","287","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0029","5742","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0029","","","D-DWG-PHW-009","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","288","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0030","5745","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0030","","","D-DWG-PHW-009","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","289","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0031","5748","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0031","","","D-DWG-PHW-009","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","290","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0032","5751","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0032","","","D-DWG-PHW-009","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","291","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0033","5754","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0033","","","D-DWG-PHW-009","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","292","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TT-0039","5754.45","6114.476","360.02599999999984","PHW","Trench Type","TRENCH SECTION","","1A","360.026","D-DWG-PHW-009.2","D-DWG-PHW-009.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-PIPE-0065","5754.45","5897.237","142.78700000000026","PHW","Pipe","PIPE","PHW-PIPE-0065","","","D-DWG-PHW-009.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Pipelay Crew","","","","","","","","","","","","","","","","","","","",""
"PHW-TS-0255","5756.6","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0255","","","D-DWG-PHW-009","","","","","9.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","293","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0256","5761","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0256","","","D-DWG-PHW-009","","","","","9.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","294","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0257","5765.4","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0257","","","D-DWG-PHW-009","","","","","9.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","295","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0258","5769.8","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0258","","","D-DWG-PHW-009","","","","","9.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","296","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0259","5775.3","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0259","","","D-DWG-PHW-009","","","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","297","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0260","5783.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0260","","","D-DWG-PHW-009","","","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","298","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0261","5791.7","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0261","","","D-DWG-PHW-009","","","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","299","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0262","5799.9","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0262","","","D-DWG-PHW-009","","","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","300","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0263","5808.1","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0263","","","D-DWG-PHW-009","","","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","301","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0264","5816.3","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0264","","","D-DWG-PHW-009","","","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","302","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BND-038","5386.241","","","PHW","Bend","HOR","PHW-BND-038","","","D-DWG-PHW-007.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","each","","Bend","11.25°","DICL","600","","","","","","","","11.25","PIPE","0","NO","","","","","","","","","","","","","","","",""
"PHW-TB-020","2667.545","","","PHW","Thrust Block","THRUST BLOCK","PHW-TB-020","","","","","","","","PHW","","Type 5","","","","","","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thrust Block Register - T2W_PIPELINE.xlsm","32","","","Bend","","","","","","","","","","14784","1","each","14784","Bend","22.5","DICL","600","2481","150","Bend; 22.5 deg","S-DWG-PTW-115/116/117/118 Rev 2/1, Issued for Construction","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0265","5825.2","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0265","","","D-DWG-PHW-009","","","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","303","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0266","5835.2","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0266","","","D-DWG-PHW-009","","","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","304","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
